science_name,brand_name
acetaminophen, Tylenol,
ibuprofen, Advil,
naproxen, Aleve,
amoxicillin, Amoxil,
azithromycin, Zithromax,
atorvastatin, Lipitor,
simvastatin, Zocor,
omeprazole, Prilosec,
lansoprazole, Prevacid,
pantoprazole, Protonix,
esomeprazole, Nexium,
metformin, Glucophage,
glipizide, Glucotrol,
glyburide, Diabeta,
albuterol, Ventolin,
salbutamol, ProAir,
montelukast, Singulair,
cetirizine, Zyrtec,
loratadine, Claritin,
fexofenadine, Allegra,
diphenhydramine, Benadryl,
hydroxyzine, Vistaril,
levocetirizine, Xyzal,
ranitidine, Zantac,
famotidine, Pepcid,
sertraline, Zoloft,
fluoxetine, Prozac,
citalopram, Celexa,
escitalopram, Lexapro,
paroxetine, Paxil,
venlafaxine, Effexor,
duloxetine, Cymbalta,
bupropion, Wellbutrin,
trazodone, Desyrel,
alprazolam, Xanax,
clonazepam, Klonopin,
lorazepam, Ativan,
diazepam, Valium,
zolpidem, Ambien,
temazepam, Restoril,
lisinopril, Zestril,
enalapril, Vasotec,
ramipril, Altace,
losartan, Cozaar,
valsartan, Diovan,
irbesartan, Avapro,
amlodipine, Norvasc,
nifedipine, Procardia,
verapamil, Calan,
diltiazem, Cardizem,
furosemide, Lasix,
hydrochlorothiazide, Microzide,
spironolactone, Aldactone,
metoprolol, Lopressor,
atenolol, Tenormin,
propranolol, Inderal,
carvedilol, Coreg,
clopidogrel, Plavix,
warfarin, Coumadin,
rivaroxaban, Xarelto,
apixaban, Eliquis,
digoxin, Lanoxin,
nitroglycerin, Nitrostat,
insulin glargine, Lantus,
insulin lispro, Humalog,
insulin aspart, Novolog,
pioglitazone, Actos,
rosiglitazone, Avandia,
sitagliptin, Januvia,
canagliflozin, Invokana,
dapagliflozin, Farxiga,
empagliflozin, Jardiance,
levothyroxine, Synthroid,
liothyronine, Cytomel,
conjugated estrogens, Premarin,
ethinyl estradiol/norgestimate, Ortho Tri-Cyclen,
drospirenone/ethinyl estradiol, Yaz,
norethindrone, Camila,
testosterone, AndroGel,
tamsulosin, Flomax,
finasteride, Proscar,
dutasteride, Avodart,
sildenafil, Viagra,
tadalafil, Cialis,
vardenafil, Levitra,
morphine, MS Contin,
oxycodone, OxyContin,
hydrocodone, Norco,
tramadol, Ultram,
codeine, Tylenol #3,
gabapentin, Neurontin,
pregabalin, Lyrica,
cyclobenzaprine, Flexeril,
baclofen, Lioresal,
methocarbamol, Robaxin,
meloxicam, Mobic,
celecoxib, Celebrex,
allopurinol, Zyloprim,
colchicine, Colcrys,
topiramate, Topamax,
lamotrigine, Lamictal,
valproic acid, Depakote,
phenytoin, Dilantin,
levetiracetam, Keppra
